CHANNEL_PROVIDER_ID,SHORT_NAME,Eastern Begin Time,Eastern End Time,NAME
RIC-N,WWBT,4/27/22 21:00,4/27/22 22:00,TBA...
PITNHE,WPXI,4/27/22 21:00,4/27/22 22:00,TBA...
SHRNH,KTAL,4/27/22 22:00,4/27/22 23:00,TBA...
PITNHE,WPXI,4/27/22 22:00,4/27/22 23:00,TBA...
DOTN3,WRGX,4/27/22 22:00,4/27/22 23:00,TBA...
DAYNH,WDTN,4/27/22 22:00,4/27/22 23:00,TBA...
ORLNHE,WESH,4/27/22 22:00,4/27/22 23:00,TBA...
OTA253,KAMR,4/27/22 22:00,4/27/22 23:00,TBA...
ABQN2,KOB,4/27/22 22:00,4/27/22 23:00,TBA...
PRR-N,WKAQ3,4/27/22 22:00,4/27/22 23:00,TBA...
RIC-N,WWBT,4/27/22 22:00,4/27/22 23:00,TBA...
CLBNHET,WLTZ,4/27/22 22:00,4/27/22 23:00,TBA...
LA-P2,KLCS,4/27/22 22:00,4/27/22 23:00,TBA...
HLNNH,KTVH,4/27/22 22:00,4/27/22 23:00,TBA...
HLNNH,KTVH,4/27/22 23:00,4/28/22,TBA...
ABQN2,KOB,4/27/22 23:00,4/28/22,TBA...
PITNHE,WPXI,4/28/22 3:00,4/28/22 4:00,TBA...
BMTFH2,KBTV,4/28/22 4:30,4/28/22 5:00,TBA...
CRIFH,KFXA,4/28/22 4:30,4/28/22 5:00,TBA...
LA-P2,KLCS,4/28/22 5:00,4/28/22 6:00,TBA...
CRIFH,KFXA,4/28/22 6:30,4/28/22 7:00,TBA...
WAUJG,WAOW3,4/28/22 8:30,4/28/22 9:00,TBA...
OMAJC,KYNE3,4/28/22 10:00,4/28/22 10:30,TBA...
LCE-T,WYTU,4/28/22 10:00,4/28/22 11:00,TBA...
CLB-IT,WLGA,4/28/22 11:30,4/28/22 12:00,TBA...
FRSTH,KNSO,4/28/22 13:00,4/28/22 14:00,TBA...
AUSUHE,KAKW,4/28/22 14:00,4/28/22 15:00,TBA...
SF-I9H,KTNC,4/28/22 16:30,4/28/22 17:00,TBA...
CLB-IT,WLGA,4/28/22 16:30,4/28/22 17:00,TBA...
OMAJC,KYNE3,4/28/22 17:00,4/28/22 17:30,TBA...
SBAUH,KPMR,4/28/22 17:00,4/28/22 18:00,TBA...
PTLUN,KUNP,4/28/22 17:00,4/28/22 18:00,TBA...
PRRP2H,WMTJ,4/28/22 17:30,4/28/22 18:00,TBA...
OMAJC,KYNE3,4/28/22 20:00,4/28/22 20:30,TBA...
OMAJC,KYNE3,4/28/22 23:00,4/28/22 23:30,TBA...
PTLAH,KATU,4/29/22,4/29/22 0:30,TBA...
OMAJC,KYNE3,4/29/22 0:30,4/29/22 1:00,TBA...
CRIFH,KFXA,4/29/22 4:00,4/29/22 4:30,TBA...
BMTFH2,KBTV,4/29/22 4:00,4/29/22 4:30,TBA...
BMTFH2,KBTV,4/29/22 5:00,4/29/22 5:30,TBA...
CRIFH,KFXA,4/29/22 5:00,4/29/22 5:30,TBA...
WAUJG,WAOW3,4/29/22 8:00,4/29/22 8:30,TBA...
PRRP2H,WMTJ,4/29/22 9:00,4/29/22 9:30,TBA...
LCE-T,WYTU,4/29/22 10:00,4/29/22 11:00,TBA...
CLB-IT,WLGA,4/29/22 11:00,4/29/22 11:30,TBA...
FRSTH,KNSO,4/29/22 13:00,4/29/22 14:00,TBA...
AUSUHE,KAKW,4/29/22 14:00,4/29/22 15:00,TBA...
CLB-IT,WLGA,4/29/22 16:00,4/29/22 16:30,TBA...
SF-I9H,KTNC,4/29/22 16:30,4/29/22 17:00,TBA...
PTLUN,KUNP,4/29/22 17:00,4/29/22 18:00,TBA...
SBAUH,KPMR,4/29/22 17:00,4/29/22 18:00,TBA...
PRRP2H,WMTJ,4/29/22 17:30,4/29/22 18:00,TBA...
SF-I9H,KTNC,4/29/22 18:00,4/29/22 20:00,TBA...
FXSW4,FXSW4,4/30/22 2:00,4/30/22 3:00,TBA...
FXSW4,FXSW4,4/30/22 4:00,4/30/22 5:00,TBA...
FXSW4,FXSW4,4/30/22 5:00,4/30/22 6:00,TBA...
OMAJC,KYNE3,4/30/22 7:30,4/30/22 8:00,TBA...
EVNIHE,WTVW,4/30/22 8:30,4/30/22 9:00,TBA...
SBN-P,WNIT,4/30/22 15:30,4/30/22 16:00,TBA...
PRRP2H,WMTJ,4/30/22 17:30,4/30/22 18:00,TBA...
LA-PH3,KOCE,4/30/22 19:00,4/30/22 20:30,TBA...
AUG-C,WRDW,4/30/22 19:30,4/30/22 20:00,TBA...
EVNIHE,WTVW,4/30/22 20:00,4/30/22 20:30,TBA...
GRRCWH,WWMTD,4/30/22 20:00,4/30/22 20:30,TBA...
CHSCWHE,WCBDD,4/30/22 20:00,4/30/22 20:30,TBA...
MIAWH,WSFL,4/30/22 20:00,4/30/22 20:30,TBA...
WATJA,WWTI2,4/30/22 20:00,4/30/22 20:30,TBA...
LFTCWH,WLFI2,4/30/22 20:00,4/30/22 20:30,TBA...
HTF-A,WTNH,4/30/22 22:00,4/30/22 23:00,TBA...
NOR-A,WVEC,4/30/22 22:00,4/30/22 23:00,TBA...
CTUAH3,WTVA2,4/30/22 22:00,4/30/22 23:00,TBA...
AUGAH,WJBF,4/30/22 22:00,4/30/22 23:00,TBA...
SPKCW,KSKN,4/30/22 23:00,4/30/22 23:30,TBA...
AUSUHE,KAKW,5/1/22 1:00,5/1/22 2:00,TBA...
FAI-A,KATN,5/1/22 1:00,5/1/22 2:00,TBA...
FXSW4,FXSW4,5/1/22 1:00,5/1/22 2:00,TBA...
PTLAH,KATU,5/1/22 1:00,5/1/22 2:00,TBA...
FXSW4,FXSW4,5/1/22 2:00,5/1/22 3:00,TBA...
FSDJE,KSMN3,5/1/22 2:00,5/1/22 3:00,TBA...
PTLUN,KUNP,5/1/22 7:00,5/1/22 8:00,TBA...
EVNIHE,WTVW,5/1/22 7:30,5/1/22 8:00,TBA...
FSDJE,KSMN3,5/1/22 8:00,5/1/22 9:00,TBA...
AUSUHE,KAKW,5/1/22 8:00,5/1/22 9:55,TBA...
PRRP2H,WMTJ,5/1/22 9:00,5/1/22 9:30,TBA...
LA-P2,KLCS,5/1/22 9:00,5/1/22 9:30,TBA...
OTA253,KAMR,5/1/22 9:30,5/1/22 10:00,TBA...
OWNVH,OWN,5/1/22 11:00,5/1/22 12:00,TBA...
PTLUN,KUNP,5/1/22 11:00,5/1/22 12:55,TBA...
FSDJE,KSMN3,5/1/22 14:00,5/1/22 15:00,TBA...
HON-C,KGMB,5/1/22 20:30,5/1/22 21:00,TBA...
CLB-IT,WLGA,5/1/22 22:30,5/1/22 23:00,TBA...
FRSJP,KGMC4,5/1/22 22:30,5/1/22 23:00,TBA...
CLB-IT,WLGA,5/1/22 23:00,5/1/22 23:30,TBA...
FRSJP,KGMC4,5/1/22 23:00,5/1/22 23:30,TBA...
LA-P2,KLCS,5/2/22 4:00,5/2/22 5:00,TBA...
PRRP2H,WMTJ,5/2/22 9:00,5/2/22 9:30,TBA...
LCE-T,WYTU,5/2/22 10:00,5/2/22 11:00,TBA...
FRSTH,KNSO,5/2/22 13:00,5/2/22 14:00,TBA...
SF-I9H,KTNC,5/2/22 16:30,5/2/22 17:00,TBA...
PRRP2H,WMTJ,5/2/22 17:30,5/2/22 18:00,TBA...
LA-P2,KLCS,5/2/22 20:30,5/2/22 21:00,TBA...
WAUJG,WAOW3,5/3/22 8:00,5/3/22 8:30,TBA...
OMAJC,KYNE3,5/3/22 10:00,5/3/22 10:30,TBA...
LCE-T,WYTU,5/3/22 10:00,5/3/22 11:00,TBA...
OMAJC,KYNE3,5/3/22 11:30,5/3/22 12:00,TBA...
FRSTH,KNSO,5/3/22 13:00,5/3/22 14:00,TBA...
SF-I9H,KTNC,5/3/22 16:30,5/3/22 17:00,TBA...
OMAJC,KYNE3,5/3/22 17:00,5/3/22 17:30,TBA...
PRRP2H,WMTJ,5/3/22 17:30,5/3/22 18:00,TBA...
OMAJC,KYNE3,5/3/22 20:00,5/3/22 20:30,TBA...
OMAJC,KYNE3,5/3/22 23:00,5/3/22 23:30,TBA...
OMAJC,KYNE3,5/3/22 23:30,5/4/22,TBA...
OMAJC,KYNE3,5/4/22 0:30,5/4/22 1:00,TBA...
OMAJC,KYNE3,5/4/22 5:30,5/4/22 6:00,TBA...
PRRP2H,WMTJ,5/4/22 9:00,5/4/22 9:30,TBA...
LCE-T,WYTU,5/4/22 10:00,5/4/22 11:00,TBA...
OMAJC,KYNE3,5/4/22 11:30,5/4/22 12:00,TBA...
FRSTH,KNSO,5/4/22 13:00,5/4/22 14:00,TBA...
SF-I9H,KTNC,5/4/22 16:30,5/4/22 17:00,TBA...
PRRP2H,WMTJ,5/4/22 17:30,5/4/22 18:00,TBA...
PITNHE,WPXI,5/4/22 21:00,5/4/22 22:00,TBA...
SHRNH,KTAL,5/4/22 21:00,5/4/22 22:00,TBA...
CLBNHET,WLTZ,5/4/22 21:00,5/4/22 22:00,TBA...
DAYNH,WDTN,5/4/22 21:00,5/4/22 22:00,TBA...
PRR-N,WKAQ3,5/4/22 21:00,5/4/22 22:00,TBA...
GRWNH,WNBD,5/4/22 21:00,5/4/22 22:00,TBA...
RIC-N,WWBT,5/4/22 21:00,5/4/22 22:00,TBA...
ORLNHE,WESH,5/4/22 21:00,5/4/22 22:00,TBA...
DOTN3,WRGX,5/4/22 21:00,5/4/22 22:00,TBA...
OTA253,KAMR,5/4/22 21:00,5/4/22 22:00,TBA...
PITNHE,WPXI,5/4/22 22:00,5/4/22 23:00,TBA...
SHRNH,KTAL,5/4/22 22:00,5/4/22 23:00,TBA...
ABQN2,KOB,5/4/22 22:00,5/4/22 23:00,TBA...
ORLNHE,WESH,5/4/22 22:00,5/4/22 23:00,TBA...
HLNNH,KTVH,5/4/22 22:00,5/4/22 23:00,TBA...
CLBNHET,WLTZ,5/4/22 22:00,5/4/22 23:00,TBA...
DAYNH,WDTN,5/4/22 22:00,5/4/22 23:00,TBA...
PRR-N,WKAQ3,5/4/22 22:00,5/4/22 23:00,TBA...
LA-P2,KLCS,5/4/22 22:00,5/4/22 23:00,TBA...
GRWNH,WNBD,5/4/22 22:00,5/4/22 23:00,TBA...
DOTN3,WRGX,5/4/22 22:00,5/4/22 23:00,TBA...
OTA253,KAMR,5/4/22 22:00,5/4/22 23:00,TBA...
RIC-N,WWBT,5/4/22 22:00,5/4/22 23:00,TBA...
ABQN2,KOB,5/4/22 23:00,5/5/22,TBA...
HLNNH,KTVH,5/4/22 23:00,5/5/22,TBA...
OMAJC,KYNE3,5/4/22 23:30,5/5/22,TBA...
LA-P2,KLCS,5/5/22 5:00,5/5/22 6:00,TBA...
OMAJC,KYNE3,5/5/22 5:30,5/5/22 6:00,TBA...
OMAJC,KYNE3,5/5/22 10:00,5/5/22 10:30,TBA...
LCE-T,WYTU,5/5/22 10:00,5/5/22 11:00,TBA...
OMAJC,KYNE3,5/5/22 11:30,5/5/22 12:00,TBA...
FRSTH,KNSO,5/5/22 13:00,5/5/22 14:00,TBA...
SF-I9H,KTNC,5/5/22 16:30,5/5/22 17:00,TBA...
OMAJC,KYNE3,5/5/22 17:00,5/5/22 17:30,TBA...
PRRP2H,WMTJ,5/5/22 17:30,5/5/22 18:00,TBA...
RIC-C,WTVR,5/5/22 20:00,5/5/22 20:30,TBA...
ALBCHE,WRGB,5/5/22 20:00,5/5/22 20:30,TBA...
ODM-C,KOSA,5/5/22 20:00,5/5/22 20:30,TBA...
BMT-C,KFDM,5/5/22 20:00,5/5/22 20:30,TBA...
HRL-C,KVEO2,5/5/22 20:00,5/5/22 20:30,TBA...
BALCBSH,WJZ,5/5/22 20:00,5/5/22 20:30,TBA...
DAY-C,WHIO,5/5/22 20:00,5/5/22 20:30,TBA...
AUG-C,WRDW,5/5/22 20:00,5/5/22 20:30,TBA...
LSV-C,WLKY,5/5/22 20:00,5/5/22 20:30,TBA...
IDF-C1,KIFI2,5/5/22 21:00,5/5/22 21:30,TBA...
AUG-C,WRDW,5/5/22 21:00,5/5/22 21:30,TBA...
ALBCHE,WRGB,5/5/22 21:00,5/5/22 21:30,TBA...
RIC-C,WTVR,5/5/22 21:00,5/5/22 21:30,TBA...
BMT-C,KFDM,5/5/22 21:00,5/5/22 21:30,TBA...
ODM-C,KOSA,5/5/22 21:00,5/5/22 21:30,TBA...
HRL-C,KVEO2,5/5/22 21:00,5/5/22 21:30,TBA...
LSV-C,WLKY,5/5/22 21:00,5/5/22 21:30,TBA...
BALCBSH,WJZ,5/5/22 21:00,5/5/22 21:30,TBA...
DAY-C,WHIO,5/5/22 21:00,5/5/22 21:30,TBA...
IDF-C1,KIFI2,5/5/22 22:00,5/5/22 22:30,TBA...
RIC-C,WTVR,5/5/22 22:00,5/5/22 23:00,TBA...
HRL-C,KVEO2,5/5/22 22:00,5/5/22 23:00,TBA...
BALCBSH,WJZ,5/5/22 22:00,5/5/22 23:00,TBA...
AUG-C,WRDW,5/5/22 22:00,5/5/22 23:00,TBA...
ODM-C,KOSA,5/5/22 22:00,5/5/22 23:00,TBA...
BMT-C,KFDM,5/5/22 22:00,5/5/22 23:00,TBA...
ALBCHE,WRGB,5/5/22 22:00,5/5/22 23:00,TBA...
DAY-C,WHIO,5/5/22 22:00,5/5/22 23:00,TBA...
LSV-C,WLKY,5/5/22 22:00,5/5/22 23:00,TBA...
OMAJC,KYNE3,5/5/22 23:00,5/5/22 23:30,TBA...
OMAJC,KYNE3,5/5/22 23:30,5/6/22,TBA...
EUK-C,KVIQ,5/6/22,5/6/22 0:30,TBA...
HON-C,KGMB,5/6/22 1:00,5/6/22 1:30,TBA...
HON-C,KGMB,5/6/22 2:00,5/6/22 2:30,TBA...
HON-C,KGMB,5/6/22 3:00,5/6/22 4:00,TBA...
OMAJC,KYNE3,5/6/22 5:30,5/6/22 6:00,TBA...
SF-I9H,KTNC,5/6/22 8:00,5/6/22 8:30,TBA...
PRRP2H,WMTJ,5/6/22 9:00,5/6/22 9:30,TBA...
FOXS1S,FOXS1,5/6/22 9:30,5/6/22 12:00,TBA...
FOXS1D,FOXS1,5/6/22 9:30,5/6/22 12:00,TBA...
FOXS1,FOXS1,5/6/22 9:30,5/6/22 12:00,TBA...
FOXS1H,FOXS1,5/6/22 9:30,5/6/22 12:00,TBA...
FOXS1D1,FOXS1,5/6/22 9:30,5/6/22 12:00,TBA...
LCE-T,WYTU,5/6/22 10:00,5/6/22 11:00,TBA...
FRSTH,KNSO,5/6/22 13:00,5/6/22 14:00,TBA...
SF-I9H,KTNC,5/6/22 13:30,5/6/22 14:00,TBA...
FXSW4,FXSW4,5/6/22 16:00,5/6/22 17:00,TBA...
FOXS1D,FOXS1,5/6/22 16:30,5/6/22 17:00,TBA...
FOXS1,FOXS1,5/6/22 16:30,5/6/22 17:00,TBA...
FOXS1H,FOXS1,5/6/22 16:30,5/6/22 17:00,TBA...
FOXS1S,FOXS1,5/6/22 16:30,5/6/22 17:00,TBA...
SF-I9H,KTNC,5/6/22 16:30,5/6/22 17:00,TBA...
FOXS1D1,FOXS1,5/6/22 16:30,5/6/22 17:00,TBA...
PRRP2H,WMTJ,5/6/22 17:30,5/6/22 18:00,TBA...
FOXS1,FOXS1,5/6/22 18:30,5/6/22 19:30,TBA...
FOXS1D,FOXS1,5/6/22 18:30,5/6/22 19:30,TBA...
FOXS1H,FOXS1,5/6/22 18:30,5/6/22 19:30,TBA...
FOXS1S,FOXS1,5/6/22 18:30,5/6/22 19:30,TBA...
FOXS1D1,FOXS1,5/6/22 18:30,5/6/22 19:30,TBA...
OMAJC,KYNE3,5/7/22 7:30,5/7/22 8:00,TBA...
EVNIHE,WTVW,5/7/22 8:30,5/7/22 9:00,TBA...
NSHMN,WUXP,5/7/22 9:00,5/7/22 9:30,TBA...
FOXS1,FOXS1,5/7/22 12:30,5/7/22 13:30,TBA...
FOXS1S,FOXS1,5/7/22 12:30,5/7/22 13:30,TBA...
FOXS1D,FOXS1,5/7/22 12:30,5/7/22 13:30,TBA...
FOXS1D1,FOXS1,5/7/22 12:30,5/7/22 13:30,TBA...
FOXS1H,FOXS1,5/7/22 12:30,5/7/22 13:30,TBA...
SBN-P,WNIT,5/7/22 15:30,5/7/22 16:00,TBA...
PRRP2H,WMTJ,5/7/22 17:30,5/7/22 18:00,TBA...
FXSW4,FXSW4,5/7/22 19:00,5/7/22 19:30,TBA...
FXSW4,FXSW4,5/7/22 19:30,5/7/22 20:00,TBA...
HON-C,KGMB,5/8/22,5/8/22 1:00,TBA...
EVNIHE,WTVW,5/8/22 7:30,5/8/22 8:00,TBA...
WAUJG,WAOW3,5/8/22 8:00,5/8/22 8:30,TBA...
LA-P2,KLCS,5/8/22 9:00,5/8/22 9:30,TBA...
PRRP2H,WMTJ,5/8/22 9:00,5/8/22 9:30,TBA...
OTA253,KAMR,5/8/22 9:30,5/8/22 10:00,TBA...
CINP1,WCET,5/8/22 13:00,5/8/22 14:00,TBA...
HON-C,KGMB,5/8/22 20:30,5/8/22 21:00,TBA...
LA-P2,KLCS,5/9/22 4:00,5/9/22 5:00,TBA...
CNND,CNN,5/9/22 7:00,5/9/22 8:00,TBA...
CNNHD,CNN,5/9/22 7:00,5/9/22 8:00,TBA...
CNNC,CNN,5/9/22 7:00,5/9/22 8:00,TBA...
CNN,CNN,5/9/22 7:00,5/9/22 8:00,TBA...
CNNHD,CNN,5/9/22 8:00,5/9/22 9:00,TBA...
CNNC,CNN,5/9/22 8:00,5/9/22 9:00,TBA...
CNND,CNN,5/9/22 8:00,5/9/22 9:00,TBA...
CNN,CNN,5/9/22 8:00,5/9/22 9:00,TBA...
PRRP2H,WMTJ,5/9/22 9:00,5/9/22 9:30,TBA...
CNNC,CNN,5/9/22 9:00,5/9/22 10:00,TBA...
CNND,CNN,5/9/22 9:00,5/9/22 10:00,TBA...
CNNHD,CNN,5/9/22 9:00,5/9/22 10:00,TBA...
CNN,CNN,5/9/22 9:00,5/9/22 10:00,TBA...
CNNHD,CNN,5/9/22 10:00,5/9/22 11:00,TBA...
CNNC,CNN,5/9/22 10:00,5/9/22 11:00,TBA...
CNND,CNN,5/9/22 10:00,5/9/22 11:00,TBA...
CNN,CNN,5/9/22 10:00,5/9/22 11:00,TBA...
CNND,CNN,5/9/22 11:00,5/9/22 12:00,TBA...
CNNHD,CNN,5/9/22 11:00,5/9/22 12:00,TBA...
CNN,CNN,5/9/22 11:00,5/9/22 12:00,TBA...
CNNC,CNN,5/9/22 11:00,5/9/22 12:00,TBA...
CNNHD,CNN,5/9/22 13:00,5/9/22 14:00,TBA...
CNN,CNN,5/9/22 13:00,5/9/22 14:00,TBA...
CNND,CNN,5/9/22 13:00,5/9/22 14:00,TBA...
CNNC,CNN,5/9/22 13:00,5/9/22 14:00,TBA...
SF-I9H,KTNC,5/9/22 16:30,5/9/22 17:00,TBA...
PRRP2H,WMTJ,5/9/22 17:30,5/9/22 18:00,TBA...
CNN,CNN,5/10/22 6:00,5/10/22 7:00,TBA...
CNND,CNN,5/10/22 6:00,5/10/22 7:00,TBA...
CNNHD,CNN,5/10/22 6:00,5/10/22 7:00,TBA...
CNNC,CNN,5/10/22 6:00,5/10/22 7:00,TBA...
CNN,CNN,5/10/22 7:00,5/10/22 8:00,TBA...
CNNC,CNN,5/10/22 7:00,5/10/22 8:00,TBA...
CNND,CNN,5/10/22 7:00,5/10/22 8:00,TBA...
CNNHD,CNN,5/10/22 7:00,5/10/22 8:00,TBA...
CNNHD,CNN,5/10/22 8:00,5/10/22 9:00,TBA...
CNN,CNN,5/10/22 8:00,5/10/22 9:00,TBA...
CNND,CNN,5/10/22 8:00,5/10/22 9:00,TBA...
CNNC,CNN,5/10/22 8:00,5/10/22 9:00,TBA...
CNND,CNN,5/10/22 9:00,5/10/22 10:00,TBA...
CNNHD,CNN,5/10/22 9:00,5/10/22 10:00,TBA...
CNN,CNN,5/10/22 9:00,5/10/22 10:00,TBA...
CNNC,CNN,5/10/22 9:00,5/10/22 10:00,TBA...
CNNC,CNN,5/10/22 10:00,5/10/22 11:00,TBA...
CNND,CNN,5/10/22 10:00,5/10/22 11:00,TBA...
CNNHD,CNN,5/10/22 10:00,5/10/22 11:00,TBA...
CNN,CNN,5/10/22 10:00,5/10/22 11:00,TBA...
CNNHD,CNN,5/10/22 11:00,5/10/22 12:00,TBA...
CNNC,CNN,5/10/22 11:00,5/10/22 12:00,TBA...
CNN,CNN,5/10/22 11:00,5/10/22 12:00,TBA...
CNND,CNN,5/10/22 11:00,5/10/22 12:00,TBA...
CNN,CNN,5/10/22 13:00,5/10/22 14:00,TBA...
CNNHD,CNN,5/10/22 13:00,5/10/22 14:00,TBA...
CNND,CNN,5/10/22 13:00,5/10/22 14:00,TBA...
CNNC,CNN,5/10/22 13:00,5/10/22 14:00,TBA...
